Part,Description,Source,Quantity,Price,Total,Link
2020 Aluminum Extrusions,MODIFY IN OTHER TAB,Amazon,,,$41.00 ,https://www.amazon.com/Aluminum-Extrusion-European-Standard-Anodized/dp/B0CLGX27MY/
Extrusion Screws,VVVVVVVVVVVVVVVVVVVVVVVVVVVVVV,AliExpress,,,,
,M3 10mm (40pcs),AliExpress,8,$1.52 ,$12.16 ,https://www.aliexpress.us/item/3256804341271555.html
,M3 14mm (40pcs),AliExpress,2,$1.61 ,$3.22 ,https://www.aliexpress.us/item/3256804341271555.html
,M3 30mm (40pcs),AliExpress,1,$2.21 ,$2.21 ,https://www.aliexpress.us/item/3256804341271555.html
Extrusion Nuts,VVVVVVVVVVVVVVVVVVVVVVVVVVVVVV,,,,,
,M3 2020 (100pcs),AliExpress,3,$6.77 ,$20.31 ,https://www.aliexpress.us/item/3256807638725964.html
Motion Rods,"Motion Rods, MODIFY IN OTHER TAB",Amazon,,,$30.00 ,https://www.amazon.com/12mm-350mm-13-78-inches-Vigorous-Hardened/dp/B0D4VQJN4F/
NEMA 17 38mm Stepper Motor,STEPPERONLINE 42Ncm Motors (5pcs),AliExpress,1,$68.88 ,$68.88 ,https://www.aliexpress.us/item/3256808837281579.html
,,,,($28.93),($28.93),CURRENT DEALS 4/9/2026
,,,,,,alt https://www.aliexpress.us/item/3256802068491329.html
GT2 Timing Pulley (with Shaft Collar),"XY Belt Pulleys (B 12mm, 30T, W 6mm)",AliExpress,2,$1.36 ,$2.72 ,https://www.aliexpress.us/item/3256808347934917.html
T8 Lead Screw With Nut,Z Lead Screw (200mm),AliExpress,2,$3.88 ,$7.76 ,https://www.aliexpress.us/item/3256807271104483.html
T8 Lead Screw Motor Coupler,D20L25 Coupler (2 pcs),AliExpress,1,$3.55 ,$3.55 ,https://www.aliexpress.us/item/2255799990666860.html
623 Bearings,"Belt Bearing Stacks (3x10x4mm, 10pcs)",AliExpress,3,$3.45 ,$10.35 ,https://www.aliexpress.us/item/3256807482131308.html
GT2 Timing Belt,"GT2 Timing Belt (5m, W 6mm)",AliExpress,1,$5.45 ,$5.45 ,https://www.aliexpress.us/item/3256803076577178.html
LM12UU Linear Bearings,"Gantry and Z Bearings (LM12UU, 8pcs)",AliExpress,1,$8.65 ,$8.65 ,https://www.aliexpress.us/item/3256807105962945.html
Magnets,"Passive Tool Changing (4x2, 50pcs)",AliExpress,1,$5.84 ,$5.84 ,https://www.aliexpress.us/item/3256810045272763.html
TriangleLab V6 Volcano Hotend,"Extruder Setup (Full Setup, 24V)",AliExpress,3,$19.90 ,$59.70 ,https://www.aliexpress.us/item/2251832657765617.html
Build Plate,MIC6/Aluminum,Anywhere,,,,
MeanWell USA LRS-150-24,"x7 24V 8.8V PSU, Has Safety Features",DigiKey,1,$18.40 ,$18.40 ,https://www.digikey.com/en/products/detail/mean-well-usa-inc/LRS-150-24/7705015
IEC320 C14 Power Inlet,Main Power Input and Switch,DigiKey,1,$5.95 ,$5.95 ,https://www.digikey.com/en/products/detail/adam-tech/IEC-GS-1-100/9831135
250V 2.5A Fuse,"5x20mm Glass, For Power Inlet",DigiKey,1,$0.25 ,$0.25 ,https://www.digikey.com/en/products/detail/littelfuse-inc/061702-5MXP/5233765
C14 Power Wire,Power to The Power Inlet,Anywhere,,,,Anywhere
LM2596 Buck Converter,PSU to Raspberry Pi Step Down (24V -> 5V),Aliexpress,1,$3.22 ,$3.22 ,https://www.aliexpress.us/item/3256807802058189.html
Micro USB Cable to Power,LM2596 to Raspberry Pi,Anywhere,,,,Anywhere
SKR 1.4 Turbo Motherboard,BigTree-Tech,Zyltech,1,$29.95 ,$29.95 ,https://www.zyltech.com/genuine-skr-1-4-turbo-3d-printer-control-board-by-bigtree-tech/
A4988 Stepper Motor Controller,"Controls Stepper Motors (A4988, 5pc, Red)",Aliexpress,1,$5.41 ,$5.41 ,https://www.aliexpress.us/item/3256808903461933.html
,SKR 1.4 Turbo Setup Instructions for A4988,,,,,https://www.youtube.com/watch?v=u6pGsE7BZgg
Limit Switch,"Micro Limit Switch (Pulley, 10pc)",Aliexpress,1,$1.71 ,$1.71 ,https://www.aliexpress.us/item/3256805410237576.html
Build Plate Heat Bed,"Heater (100x100mm, 60W, 24V)",Keenovo,1,$27.74 ,$27.74 ,https://keenovo.store/products/keenovo-square-silicone-heater-3d-printer-build-plate-heatbed-heating-pad?variant=33194097803404
Wires,"16 AWG (4m, 1 roll, Orange)",Aliexpress,1,$4.53 ,$4.53 ,https://www.aliexpress.us/item/3256807263561521.html
SHIPPING HANDLING: Shipping Price to NYC,Amazon,,,,$6.99 ,
ESTIMATED TAX,Amazon,,,,$6.92 ,
SHIPPING: Shipping Price to NYC,AliExpress,,,,$0.00 ,
SHIPPING: Shipping Price to NYC,Zyltech,,,,$5.00 ,
SHIPPING: Shipping Price to NYC (with tariffs),DigiKey,,,,$10.96 ,
TOTAL,,,,,$389.90 ,
